Id	Desc
CAT_000127_e44_d1	L. a. s., (1870), 1 p.in-8.
CAT_000127_e45_d1	L. a. s. à Decroix; Paris, 8 mars 1784, 2 p.in-8. Rare.
CAT_000127_e46_d1	L. a. s. à un capitaine; Paris, 10 avril 1850, 3 p.in-4.
CAT_000127_e47_d1	L. a. s., 1 p.in-8. Belle lettre.
CAT_000127_e48_d1	L. a. s. à Ch. Nodier, 2 p.in-8, cachet à ses armes. Curieuse.
CAT_000127_e49_d1	L. a. s. à Armand Carrel, 1 p.in-8. Légère déchirure n'atteignant par le texte.
CAT_000127_e50_d1	L. a. s. (à Marmontel directeur du Mercure) : Paris, 17 septembre (1792), 2 p.in-4.
CAT_000127_e51_d1	Let. sig. avec la souscript. aut. à son frère Henri III, (alors roi de Pologne) ; château de Boulogne, près Paris, 30 juin 1573, 3/4 de p.in-fol. Rare, avec la souscription autographe.
CAT_000127_e52_d1	Pièce sig., 1/4 de p.in-fol., sceau.
CAT_000127_e53_d1	L. a. s., 1 p.in-18.
CAT_000127_e54_d1	L. a. s. ; Penaranda, 8 juin 1812. 3 p. 1/2in-8
CAT_000127_e55_d1	L. a. s. au biographe Alph. Rabbe: 5 juin 1827, 2 p. 1/2in-8. Rare.
CAT_000127_e56_d1	1° Let. sig. au baron Pecheux ; Paris, 1823, 1 p.in-fol.
CAT_000127_e56_d2	2° L. a. s. du vicomte de Champagny à Mme de Sérionne, née du Coëlosquet; 1823, 1 p.in-4, cachet à ses armes.
CAT_000127_e57_d1	L. a. s., 1 p.in-8.
CAT_000127_e58_d1	L. a. s. à Son Altesse (le comte d'Artois) ; Paris, 26 juil. 1815, 2 p. 1/4in-4.
CAT_000127_e59_d1	L. a. s., 1 p.in-8.
CAT_000127_e60_d1	L. a. sig. de ses initiales (à Andrieux); Mévoisin (Eure-et-Loir), (5 juin 1802), 4 p.in-4.
CAT_000127_e61_d1	L. a. s. à Huygens; Paris, 3 avril 1653, 1 p. 3/4in-4, cachets et soies. Deux petites taches d'encre. Rare.
CAT_000127_e62_d1	Pièce de vers aut., en italien; 3/4 de p.in-18.
CAT_000127_e63_d1	Let. sig. avec la souscript. aut. à Alessandro Raffaelli; Rome, 1658, 1 p.in-4, cachet.
CAT_000127_e64_d1	L. a. s. au comte Reinhardt; Paris, 29 mars 1826, 2 p. 1/2in-4.
CAT_000127_e65_d1	L. a. s., 1 p.in-8.
CAT_000127_e66_d1	Pièce sig. sur vélin; Blois, 6 décembre 1523, in-8 obl.
CAT_000127_e67_d1	Let. sig. avec 4 lig. aut., 1 p. 1/3in-fol.
CAT_000127_e68_d1	L. a. s. (à Philarète Charles), 1850, 4 p.in-8.
CAT_000127_e69_d1	L. a. s., 1 p.in-18. Belle lettre.
CAT_000127_e70_d1	L. a. s., 1/2 p.in-18.
CAT_000127_e71_d1	L. a. s., 1 p.in-8.
CAT_000127_e72_d1	L. a. s., 2 p.in-18.
CAT_000127_e73_d1	L. a. s., 1 p.in-8.
CAT_000127_e74_d1	L. a. s. à M. Doussault, 2 p. 1/4in-8. Jolie lettre.
CAT_000127_e75_d1	L. a. s. (à M. Humbert, orientaliste génevois); Paris, 2 décembre 1825, 3 p.in-4.
CAT_000127_e76_d2	1° L. a. s.; Bayeux, 8 octobre 1734, 2 p. 1/2in-fol.
CAT_000127_e76_d1	2° L. a. s. de son frère l'abbé Duchâtel; Paris, 29 avril 1761, 6 p.in-fol.
CAT_000127_e77_d1	L. a. s. à M. de la Tour ; Versailles, 28 août 1809, 3 p.in-4.
CAT_000127_e78_d1	L. a. s. ; Cozes (Charente-Inférieure), 21 août 1867, 4 p.in-8.
CAT_000127_e79_d1	L. a. s. (à Ballanche); (1847), 3 p.in-8.
CAT_000127_e80_d1	L. a. s., 1 p. 1/3in-8.
CAT_000127_e81_d1	Pièce de vers aut. sig. ; 1 p.in-8. Papier armorié à son chiffre.
CAT_000127_e82_d1	L. a. s., 2/3 de p.in-8.
CAT_000127_e83_d1	Pièce sig. sur vélin; 14 juil. 1581, in-8 obl. Rare.
CAT_000127_e84_d1	L. a. s., 1/2 p.in-8.
CAT_000127_e85_d1	Les deux fils, à Mme E…, pièce de vers aut. sig. ; 1 p. 1/2in-8.
CAT_000127_e86_d1	L. a. s., 1881, 1 p.in-18.
CAT_000127_e87_d1	Pièce sig. sur vélin; Plessis-les-Tours- Villefranche de Rouergue, 5 avril 1451 (1452), 1 p.in-4 oblong. Très rare.
CAT_000127_e88_d1	Let. sig. au cardinal de Lorraine, Charles de Guise ; Paris, 6 avril 1557, 1 p. 3/4in-fol., cachet à ses armes.
CAT_000127_e89_d1	L. a. s. à M. Bouvet de Cressé ; 5 oct. 1813, 2 p.in-4.
CAT_000127_e90_d1	Let. aut. à la comtesse de Montberon, sa nièce ; 31 juil. 1704, 1 p. 3/4in-8, cachet. Jolie lettre.
CAT_000127_e91_d1	Let. sig. avec la souscrip. aut. à sa nièce Letizia Murat Pepoli; Rome, 1832, 1 p.in-4. Belle lettre.
CAT_000127_e92_d1	L. a. s., 1 p.in-18.
CAT_000127_e93_d1	Sa carte de visite avec 6 lig. aut. sig..
CAT_000127_e94_d1	L. a. s., 1 p.in-8.
CAT_000127_e95_d1	1° Let. aut. à Verninac; 9 germinal, 3/4 de p.in-8. Légèrement rognée.
CAT_000127_e95_d2	2° Let. aut. sig. à la 3e pers. à M. Guilbret ; 1/2 p.in-4.
CAT_000127_e96_d1	P. Claris de), le célèbre fabuliste, de l'Acad. fr., né en 1755, mort en 1794-L. a. s. au chevalier (de Boufflers); 1 p. 1/2in-8.
CAT_000127_e97_d1	L. a. s., 1 p.in-8.
CAT_000127_e98_d1	L. a. s. à M. Tardieu, à Maubeuge; Paris, 2 fév. 1835, 1 p.in-4.
CAT_000127_e99_d1	L. a. s. à Pierre Tissot ; Paris, 25 août 1824, 1 p. 3/4in-4.
CAT_000127_e100_d1	Let. a. s. (au vicomte de Bonald) ; 16 février (1829), 4 p.in-4.
CAT_000127_e101_d1	L. a. s., en français, à une comtesse; Gênes, 17 novembre 1872, 4 p.in-8
CAT_000127_e102_d1	Pièce sig. en français; Paris, 1817, 1 p.in-4. Belle pièce.
CAT_000127_e103_d1	L. a. s. à Cenni ; Nice, 27 mai 1855, 1 p. 1/2in-8. Encre un peu pâle.
CAT_000127_e104_d1	L. a. s., 2 p.in-4.
CAT_000127_e105_d1	Pièce aut. sig. ; Paris, 16 octobre 1690, 1 p.in-8 obl. Jolie pièce.
CAT_000127_e106_d1	L. a. s. ; Liège, 19 mars 1839, 3 p.in-4.
CAT_000127_e107_d1	Quit. sig. avec 4 pet. lig. aut., en français; 1er mai 1789, 1 p.in-8.
CAT_000127_e108_d1	L. a. s., 1 p.in-8.
CAT_000127_e109_d1	L. a. s. au trésorier de la duchesse, de Berry; 2 p.in-8.
CAT_000127_e110_d1	L. a. s. (au baron d'Eckstein); Orléans, 2 nov. 1851, 3 p.in-8.
CAT_000127_e111_d1	L. a. s., 1 p.in-8.
CAT_000127_e112_d1	P. a. s. deux fois, 1750, 1/3 de p.in-4.
CAT_000127_e113_d1	L. a. s., 1/2 p.in-8.
CAT_000127_e114_d1	L. a. s. à Paul Foucher; Barbezieux, 19 septembre (1829), 2 p. 1/2in-4. Un peu fatiguée.
CAT_000127_e115_d1	L. a. sig. à la 3e pers. à Panckoucke; 2 avril 1784, 1 p.in-8. Relative à l'Encyclopédie.
CAT_000127_e116_d1	Let. aut. au comte de Jonzac, à Rochefort ; aux Ormes (Seine-et-Marne), 4 septembre (1758), 2 p. 1/2in-8, cachet à ses armes.
CAT_000127_e117_d1	L. a. s. à un journaliste; HautevilleHouse, 14 décembre 1869, 2 p.in-4.
CAT_000127_e118_d1	L. a. s., 1 p.in-8. Belle lettre.
CAT_000127_e119_d1	L. a. s., en français, 1/2 p.in-18.
CAT_000127_e120_d1	Let. sig., en français, 1 p.in-8. Papier à son chiffre.
CAT_000127_e121_d1	L. a. s., 1 p.in-8.
CAT_000127_e122_d1	L. a. s. à Tissot, rédacteur du Constitutionnel ; (vers 1823), 3/4 de p.in-8.
CAT_000127_e123_d1	L. a. s. à Botot, secrétaire de Barras; 13 ventôse, 1 p.in-18. Léger raccommodage au feuillet de l'auresse.
CAT_000127_e124_d1	L. a. s. (à Louis-Philippe); (août 1830), 2 p. 1/2in-4.
CAT_000127_e125_d1	Billet aut. sig., 1/3 de p.in-8.
CAT_000127_e126_d1	Reçu aut. sig. en anglais; 27 octobre 1774, 1 p.in-18 obl. Plus un joli portrait.
CAT_000127_e127_d1	L. a. s. à M. Pasquet; Milan, 4 août (1810), 1 p.in-4. Belle lettre.
CAT_000127_e128_d1	L. a. s. à Anténor Joly, directeur de l'Epoque; Tulle, 16 septembre 1841, 3 p.in-8, cachet.
CAT_000127_e129_d1	L. a. s. (à Lanjuinais) ; Paris, 9 juil. (1815), 1 p.in-4.
CAT_000127_e130_d1	L. a. s. à Michaud ; Paris, 7 mai 1810, 1 p. 1/2 petit in-4.
CAT_000127_e131_d1	L. a. s., 1 p. 1/2in-8. Curieuse.
CAT_000127_e132_d1	L. a. s.; Bourgneuf, près Brest, 15 juil. 1853, 2 p.in-4. Le nom du destinataire a été enlevé.
CAT_000127_e133_d1	L. a. s. à M. Grandpierre; 2 p.in-4, cachet.
CAT_000127_e134_d1	L. a. s. (à Dupin aîné); Bordeaux, 24 mars 1843, 2 p. 1/4in-4. Curieuse.
CAT_000127_e135_d1	Pièce sig. avec 3 mots aut.; Marquixanes (PyrénéesOrientales), 17 août 1707, 1/2 p.in-4, cachet.
CAT_000127_e136_d1	3 l. a. s., 1802-1806, 1/4 et 2/3 de p.in-8.
CAT_000127_e137_d1	L. a. s., 2 p.in-8.
CAT_000127_e138_d1	Let. aut. à V. Hugo ; 26 mars 1826, 1/2 p.in-8.
CAT_000127_e139_d1	L. a. s., (1823), 1 p. 1/3in-8.
CAT_000127_e140_d1	L. a. s. à M. de la Guistière, avocat, à Rennes ; Paris, 7 décembre 1768, 1 p. 1/2in-8, cachet à ses armes. Tachée.
CAT_000127_e141_d1	Pièce sig. sur vélin; Laval, 13 juin 1491, 1 p.in-4 obl. Sceau pendant de cire rouge.
CAT_000127_e142_d1	L. a. sig. en abrégé (minute) à M. (de Chassiron, à L. a. Rochelle) ; 26 novembre 1760, 2 p. 1/2in-4.
CAT_000127_e143_d1	L. a. s., 1 p.in-8.
CAT_000127_e144_d1	Pièce sig., 1 p.in-fol.
CAT_000127_e145_d1	L. a. s. au citoyen Frond ; (Londres), 25 octobre 1833, 1 p. 1/2in-8. Légère tache.
CAT_000127_e146_d1	Pièce sig.; Londres, janvier 1837, 3 p. 1/4in-4.
CAT_000127_e147_d1	L. a. s. au sculpteur Dantan ; 19 février 1858, 1 p. 1/2in-8.
CAT_000127_e148_d1	L. a. s. (à la duchesse de Luynes, pour laquelle il traduisait le Traité de la mortalité, de Saint-Cyprien); Port-Royal, 19 août 1661, 2 p. 1/2 petit in-4.
CAT_000127_e149_d1	L. a. s., 1 p.in-4.
CAT_000127_e150_d1	L. a. s. à une dame; Paris, 18 mars, 1 p.in-8.
CAT_000127_e151_d1	L. a. s. à l'éditeur Charpentier, 1844, 2/3 de p.in-8.
CAT_000127_e152_d1	Let. aut. sig. P. Lx. (18148), 8 p.in-8.
CAT_000127_e153_d1	L. a. s., 1 p.in-8.
CAT_000127_e154_d1	2 l. a. s. à Ménage; Rouen, 1656-57, 4 p.in-4.
CAT_000127_e155_d1	L. a. s. ; Basse-Terre, 24 juin 1814, 8 p. pl. in-4. Très belle lettre toute scientifique.
CAT_000127_e156_d1	L. a. s., en français, à son libraire Waltzer; Toeplitz; 9 juil. 1805, 4 p. pl. in-4.
CAT_000127_e157_d1	Fragment aut., 2p. in-18. Rare.
CAT_000127_e158_d1	L. a. s., 1 p.in-8.
CAT_000127_e159_d1	L. a. s.; 29 mars 1712, 2 p.in-4.
CAT_000127_e160_d1	Let. sig. au sire d'Aumont; Blois, 6 mai, 1/2 p.in-4 obl. Légère tache.
CAT_000127_e161_d1	L. a. s. à Son Eminence…; Paris, 20 août 1720, 2 p.in-4.
CAT_000127_e162_d1	Let. sig. (à M. Rochette); Sedan, 10 novembre 1690, 1 p.in-8. Rare.
CAT_000127_e163_d1	L. a. s., en français, à une dame; Paris, 8 novembre 1856, 1 p.in-8.
CAT_000127_e164_d1	Let. sig.; Rennes, 26 janvier 1648, 1 p.in-fol. Légèrement coupée dans la marge.
CAT_000127_e165_d1	Let. aut. à son cousin le comte de Narbonne-Pelet; Bastia, 11 février 1775, 2 p. 1/4in-4.
CAT_000127_e166_d1	L. a. s. à l'architecte Peyre ; Strasbourg, 7 floréal an V, 2 p. 1/2in-4. Légère déchirure.
CAT_000127_e167_d1	L. a. s. à Ch. Cochelet ; Paris, 17 décembre 1821, 1 p. 1/2in-4.
CAT_000127_e168_d1	Let. sig. avec la souscription aut. à l'infante d'Espagne Isabelle ; Paris, 31 décembre 1605, 1 p.in-fol., sceau. Rare. Très belle lettre intime.
CAT_000127_e169_d1	Le Passé, pièce de vers aut. sig.; 1 p. 1/2in-4.
CAT_000127_e170_d1	L. a. s. à Mme la comtesse de Quitaut, à Fontainebleau ; Venise, 25 mars 1831, 4 p.in-8, cachet à ses armes.
CAT_000127_e171_d1	3 l. a. s. au général Cavaignac ; Paris, 25-26 juin 1848, 5 p.in-8. Un peu tachées.
CAT_000127_e172_d1	L. a. s. à l'acteur Joanny; Bordeaux, 18mars 1818, 3 p.in-4.
CAT_000127_e173_d1	L. a. s., 1 p.in-18.
CAT_000127_e174_d1	L. a. s. ; Vienne, 20 août, 4 p.in-8. Surerbe lettre de sa jeunesse, écrite comme prêtre de l'Oratoire.
CAT_000127_e175_d1	L. a. s. à Valmont de Bomare; 1783, 3 p.in-4.
CAT_000127_e176_d1	Pièce sig. sur vélin; Ampuys (Rhône), 19 septembre 1566, 3 p. 1/2in-fol. Très rare.
CAT_000127_e177_d1	L. a. s. en français, (au commandant Fabvier); camp de Lenea, en Etolie, 14 août (1822). 1 p. 1/2in-8. Ecornée.
CAT_000127_e178_d1	L. a. s. à Mme Cardon ; Moersburg, sur le lac de Constance, 14 novembre 1803, 1 p. 1/2in-4. Cachet.
CAT_000127_e179_d1	Pièce sig. ; Paris, 16 mars 1668, 7 p. 1/2in-fol.
CAT_000127_e180_d1	2 let. sig., en français, à Fouché, duc d'Otrante; Vienne, 1817-19, 4 p.in-4.
CAT_000127_e181_d1	L. a. s., 1 p.in-8.
CAT_000127_e182_d1	L. a. s. à un imprimeur; 1858, 4 p. 1/2in-18.
CAT_000127_e183_d1	Pièce sig.; Saint-Loup; 20 août 1626, 2 p. 1/2in-fol.
CAT_000127_e184_d1	L. a. s., 1 p.in-18.
CAT_000127_e185_d1	L. a. s., 3 p.in-18.
CAT_000127_e186_d1	L. a. s. à un archevêque ; L. a. Roche-en-Breny (Côte-d'Or), 15 juin 1844, 3 p.in-8.
CAT_000127_e187_d1	L. a. s. à M. Delpech de Mérinville; Paris, 19 décembre 1727, 1 p. petit in-4. Légère tache.
CAT_000127_e188_d1	Pièce sig.; sig. aussi par A. Ampère ; 17 mai 1808, 2 p. 1/2in-fol., à micol.
CAT_000127_e189_d1	Let. aut., 1/2 p.in-8, papier armorié.
CAT_000127_e190_d1	L. a. s. au cardinal Patrizi ; Paris, 20 février 1863, 1/2 p.in-fol., enveloppe et cachet. Très belle pièce.
CAT_000127_e191_d1	Let. sig. avec 2 mots aut., 1 p.in-8.
CAT_000127_e192_d1	L. a. s., 1 p.in-4, cachet. Belle lettre.
CAT_000127_e193_d1	savant grammairien et littérateur, de l'Acad. fr., né à Salins en 1682, mort en 1768.-Let. aut.; 6 mars (1726), 4 p.in-18.
CAT_000127_e194_d1	L. a. s., à M. Henri de Ruolz, 1 p.in-8.
CAT_000127_e195_d1	L. a. s., en français, 1 p.in-8.
CAT_000127_e196_d1	L. a. s., en français, 1/2 p.in-4.
CAT_000127_e197_d1	Quit. sig. sur vélin; 1677, in-8 obl.
CAT_000127_e198_d1	L. a. s., 1/2 p.in-18.
CAT_000127_e199_d1	L. a. s. à M. Zuane Coct, à Venise; Padoue, 21 février 1680, 1/2 p.in-8, cachet.
CAT_000127_e200_d1	Son portrait-carte, photographie avec dédicace aut. sig. ; Londres, 18 juil. 1885, in-18.
CAT_000127_e201_d1	L. a. s.; Paris, 20 décembre 1849, 4 p.in-8.
CAT_000127_e202_d1	L. a. s. à Villenave; Paris, 1820, 1 p.in-4. Belle et intéressante lettre.
CAT_000127_e203_d1	Let. sig. à un journaliste; Paris, 16 septembre 1873, 4 p.in-8.
CAT_000127_e204_d1	L. a. s. P. à son gendre Victor Augier (père d'Emile Augier), à Valence; Paris, 1823, 2 p. 1/2in-8. Intéressante lettre intime.
CAT_000127_e205_d1	L. a. s. à M. de Reine; Brest, 1771, 3 p. pet. in-4.
CAT_000127_e206_d1	L. a. s., en français, 1 p. 2/3in-4.
CAT_000127_e207_d1	L. a. s., 1857, 1 p.in-8.
CAT_000127_e208_d1	L. a. s. à la comtesse de Ruolz; Paris, 12 mars 1832, 2 p.in-8.
CAT_000127_e209_d1	Manuscrit aut. sig. ; (février 1863), 10 p. 1/2in-fol.
CAT_000127_e210_d1	L. a. s. à M. Mazel, administrateur de la Banque du Peuple ; Sainte-Pélagie, 6 février 1852, 4 p. 1/4in-8.
CAT_000127_e211_d1	L. a. s., 1 p. 1/2in-8.
CAT_000127_e212_d1	Let. sig. à l'évêque d'Orléans (Dupanloup) ; Veytaux (Suisse), 26 mars 1863, 5 p. pleines in-8.
CAT_000127_e213_d1	Pièce de vers aut. avec ratures et corrections ; (vers 1630), 2 p.in-4. Très rare.
CAT_000127_e214_d1	L. a. s., 2/3 de p.in-8.
CAT_000127_e215_d1	L. a. s., en italien, à l'abbé Salvini (érudit, né à Florence en 1653); Paris, 8 juil. 1703, 1 p.in-4.
CAT_000127_e216_d1	1° L. a. s.; 1845, 2 p.in-8. Sur sa biographie;
CAT_000127_e216_d2	2° manuscrit aut.; (1845), 5 p.in-4. Fragment de son Histoire du Théâtre.
CAT_000127_e217_d1	L. a. s. de ses prénoms, à M. François, à Esmans, près Montereau ; Paris, 1812, 2 p. 1/4in-4.
CAT_000127_e218_d1	L. a. s. au directeur du Lien ; 18 décembre 1855, 1 p.in-8.
CAT_000127_e219_d1	L. a. s., 1 p.in-8. Belle lettre.
CAT_000127_e220_d1	L. a. s., 2 p.in-8. Belle et curieuse lettre.
CAT_000127_e221_d1	2 l. a. s. à Languet de Gergy; Rouen, 1721-23, 6 p.in-4., cachets.
CAT_000127_e222_d1	L. a. s. (à un journaliste de Bruxelles) ; 15 octobre (1862), 2 p.in-8. 15 «
CAT_000110_e1_d1	L. a. s. ; Leipzig, 1782, 3 p.in-4. Belle pièce.
CAT_000110_e2_d1	L. a. s. à M. Creton, député d'Amiens; 14 juin 1847, 3 p.in-8.
CAT_000110_e3_d1	L. a. s. à M. de Pontchartrain; Paris, 28 juillet 1702, 2 p. 1/2in-4. Belle et intéressante lettre.
CAT_000110_e4_d1	L. a. s., en français, à une princesse ; Rome, 23 février 1831, 2 p.in-4.
CAT_000110_e5_d1	L. a. s. à un cardinal; Villanova de P.-P. Certori, 8 octobre 1637, 1 p.in-fol. Ecornée. Lettre écrite comme cardinal contenant la relation d'une visite faite dans les Etats Romains.
CAT_000110_e6_d1	L. a. s. à Cornaro; Rome, 3 juin 1653, 1 p.in-fol. -Belle lettre écrite comme cardinal.
CAT_000110_e7_d1	duc d'Aoste, ex-roi d'Espagne, fils du roi Victor-Emmanuel, né 2 7) 7 V (2 II.l obl. Papier à son chiffre. Au sujet des victimes de Casamicciola.
CAT_000110_e8_d1	L. a. s. à Michelot, 1 p.in-4.
CAT_000110_e9_d1	Let. aut. (à Mme de Bouthillier); 18 février 1663, 1 p.in-8.
CAT_000110_e10_d1	L. a. s. à M. Chibert, conseiller à la Cour des Aides (1716), 2 p. 1/2in-8.
CAT_000110_e11_d1	L. a. s. ; Paris, 15 avril 1771, 1 p.in-8.
CAT_000110_e12_d1	L. a. s., 1872, 1/2 p.in-8. Curieuse réponse à la demande de son autographe.
CAT_000110_e13_d1	L. a. s., 15 janvier 1865, 2 p.in-8.
CAT_000110_e14_d1	Let. sig. aux membres du Conseil des Etats des Pays-Bas; Amsterdam, 25 juillet 1636, 3/4 de p.in-fol.
CAT_000110_e15_d1	L. a. s., en français, 1856, 2 p. 1/2in-8.
CAT_000110_e16_d1	10 lettres à lui adressées par Choron, le baron Méchain, Etienne Lenoir, L. a. Rochefoucauld-Liancourt, etc; 1817-22, 17 pagesin-8 ou in-4.
CAT_000110_e17_d1	célèbre poète contemporain. Odes funambulesques, Occidentale première, Le Mirecourt, pièce aut., octobre 1846, 3 p.in-f. Un peu fatiguée.
CAT_000110_e18_d1	L. a. s. à M. Fulgence Girard; (Mont-Saint-Michel) ; 1 p.in-18.
CAT_000110_e19_d1	L. a. s., 1 p.in-8. Jolie lettre.
CAT_000110_e20_d1	L. a. s. à un éditeur; 1858, 1 p. 1/2in-8.
CAT_000110_e21_d1	L. a. s. à Botot, secrétaire du représentant en mission dans le Var; Paris, 4 brumaire an IV, 3/4 de p.in-fol., cachet.
CAT_000110_e22_d1	L. a. s. à un général: Boulogne, 26 octobre 1811, 1 p.in-4.
CAT_000110_e23_d1	L. a. s. ; 23 avril 1878, 1 p.in-8. Piquante réponse à la demande de son autographe.
CAT_000110_e24_d1	Morceau de musique avec dédidace aut. sig.; Venise, 1867, 1 p.in-8 obl. Jolie pièce d'amateur.
CAT_000110_e25_d1	L. a. s. ; 23 février 1869, 1 p. 1/2in-8.
CAT_000110_e26_d1	L. a. s., 1 p.in-8.
CAT_000110_e27_d1	L. a. s. (à Ménage); Rotterdam, 1er janvier 1690, 3 p. 1/2in-4.
CAT_000110_e28_d1	L. a. s., 1879, 2 p.in-8. Jolie lettre.
CAT_000110_e29_d1	L. a. s. à un éditeur. 3 p.in-18. Avec traduction française.
CAT_000110_e30_d1	L. a. s., 20 novembre 1856, 1 p. 1/2in-8.
CAT_000110_e31_d1	L. a. s., en français, à M. Achille Vogue; Anvers, 1878, 1 p.in-8.
CAT_000110_e32_d1	L. a. s., en français, à Jullien de Paris; Londres, 18 janvier 1827, 1 p.in-8. Jolie lettre.
CAT_000110_e33_d1	L. a. s. à M. Armand; Lyon, 5 pluviôse an III, 2 p.in-4, cachet. Belle lettre intime.
CAT_000110_e34_d1	L. a. s. à Bibeyrolles ; Londres, 21 septembre 1855, 2 p.in-8.
CAT_000110_e35_d1	L. a. s. aux libraires Weidmann et Reisch, à Leipsig; Paris, 18 février 1776, 3 p.in-4. Cachet.
CAT_000110_e36_d1	L. a. s. au vicomte Walsh; Gratz, 30 mars 1842, 1 p.in-8. Curieuse.
CAT_000110_e37_d1	Let. aut. à M. de Préaulx, ambassadeur en Flandre; Xanten, 17 octobre 1614, 2 p.in-fol.
CAT_000110_e38_d1	L. a. s., 1 p.in-8.
CAT_000110_e39_d1	L. a. s. (au président Dupaty); Versailles, 8 octobre 1781, 2 p. 1/2in-4. Le papier blanc est enlevé audessous de la signature. Très-rare. Très-curieuse épitre intime et littéraire.
CAT_000110_e40_d1	Quit. sig. sur vélin, 1623, 1 p.in-8 obl. Rare.
CAT_000110_e41_d1	L. a. s. au cardinal Fesch; Longwood, 6 mai 1821, 1 p.in-4.
